species.Diana	species.Platnick	comment.Theo	comment.Diana	Faname
Acartauchenius scurillus	Acartauchenius scurrilis			Acartauchenius.scurrilis..O..P..Cambridge.1872.
Acarthauchenius scurillus	Acartauchenius scurrilis			Acartauchenius.scurrilis..O..P..Cambridge.1872.
Agroeca cuprea	Agroeca cuprea			Agroeca.cuprea.Menge.1873
Agroeca lusatica	Agroeca lusatica			Agroeca.lusatica..L..Koch.1875.
Agroeca proxima	Agroeca proxima			Agroeca.proxima..O..P..Cambridge.1871.
Agyneta conigera	Agyneta conigera			Agyneta.conigera..O..P..Cambridge.1863.
Alopecosa barbipes	Alopecosa barbipes			Alopecosa.barbipes..Sundevall.1833.
Alopecosa pulverulenta	Alopecosa pulverulenta			Alopecosa.pulverulenta..Clerck.1757.
Araeoncus humilis	Araeoncus humilis			Araeoncus.humilis..Blackwall.1841.
Arctosa perita	Arctosa perita			Arctosa.perita..Latreille.1799.
Argenna subnigra	Argenna subnigra			Argenna.subnigra..O..P..Cambridge.1861.
Baryphyma maritima	Baryphyma maritimum			Baryphyma.maritimum..Crocker...Parker.1970.
Bathyphantes gracilis	Bathyphantes gracilis			Bathyphantes.gracilis..Blackwall.1841.
Bathyphantes nigrinus	Bathyphantes nigrinus			Bathyphantes.nigrinus..Westring.1851.
Bathyphantes parvulus	Bathyphantes parvulus			Bathyphantes.parvulus..Westring.1851.
Bolyphantes luteolus	Bolyphantes luteolus			Bolyphantes.luteolus..Blackwall.1833.
Centromerita bicolor	Centromerita bicolor			Centromerita.bicolor..Blackwall.1833.
Centromerita concinna	Centromerita concinna			Centromerita.concinna..Thorell.1875.
Centromerus dilutus	Centromerus dilutus			Centromerus.dilutus..O..P..Cambridge.1875.
Centromerus prudens	Centromerus prudens			Centromerus.prudens..O..P..Cambridge.1873.
Centromerus sylvaticus	Centromerus sylvaticus			Centromerus.sylvaticus..Blackwall.1841.
Ceratinela brevipes	Ceratinella brevipes			Ceratinella.brevipes..Westring.1851.
Ceratinella brevis	Ceratinella brevis			Ceratinella.brevis..Wider.1834.
Cheiracanthium virescens	Cheiracanthium virescens			Cheiracanthium.virescens..Sundevall.1833.
Chiracanthium virescens	Cheiracanthium virescens			Cheiracanthium.virescens..Sundevall.1833.
Cicurina cicur	Cicurina cicur			Cicurina.cicur..Fabricius.1793.
Clubiona compta	Clubiona comta			Clubiona.comta.C.L..Koch.1839
Clubiona diversa	Clubiona diversa			Clubiona.diversa.O..P..Cambridge.1862
Clubiona frisia	Clubiona frisia			Clubiona.frisia.Wunderlich...Schuett.1995
Clubiona lutescens	Clubiona lutescens			Clubiona.lutescens.Westring.1851
Clubiona neglecta	Clubiona neglecta			Clubiona.neglecta.O..P..Cambridge.1862
Clubiona pseudoneglecta	Clubiona pseudoneglecta			Clubiona.pseudoneglecta.Wunderlich.1994
Clubiona reclusa	Clubiona reclusa			Clubiona.reclusa.O..P..Cambridge.1863
Clubiona subtilis	Clubiona subtilis			Clubiona.subtilis.L..Koch.1867
Cnephalocotes obscurus	Cnephalocotes obscurus			Cnephalocotes.obscurus..Blackwall.1834.
Milleriana inerrans	Collinsia inerrans			Collinsia.inerrans..O..P..Cambridge.1885.
Dicymbium nigrum	Dicymbium nigrum nigrum	nigrum nigrum or nigrum brevisetosum	will check with data owner but since they also had Dicymbium brevisetosum elsewhere this is probably nigrum nigrum	Dicymbium.nigrum..Blackwall.1834.
Dicymbium brevisetosum	Dicymbium nigrum brevisetosum			Dicymbium.nigrum.brevisetosum.Locket.1962
Dicymbium tibiale	Dicymbium tibiale			Dicymbium.tibiale..Blackwall.1836.
Diplocephalus cristatus	Diplocephalus cristatus			Diplocephalus.cristatus..Blackwall.1833.
Diplocephalus graecus	Diplocephalus graecus			Diplocephalus.graecus..O..P..Cambridge.1872.
Diplocephalus picinus	Diplocephalus picinus			Diplocephalus.picinus..Blackwall.1841.
Diplostyla concolor	Diplostyla concolor			Diplostyla.concolor..Wider.1834.
Drassodes cupreus	Drassodes cupreus			Drassodes.cupreus..Blackwall.1834.
Drassodes lapidosus	Drassodes lapidosus			Drassodes.lapidosus..Walckenaer.1802.
Drassodes pubescens	Drassodes pubescens			Drassodes.pubescens..Thorell.1856.
Zelotes praeficus	Drassyllus praeficus			Drassyllus.praeficus..L..Koch.1866.
Dysdera crocuta	Dysdera crocata			Dysdera.crocata.C.L..Koch.1838
Enoplognatha latimana	Enoplognatha latimana			Enoplognatha.latimana.Hippa...Oksala.1982
Enoplognatha crucifera	Enoplognatha mordax			Enoplognatha.mordax..Thorell.1875.
Enoplognatha mordax	Enoplognatha mordax			Enoplognatha.mordax..Thorell.1875.
Enoplognatha oelandica	Enoplognatha oelandica			Enoplognatha.oelandica..Thorell.1875.
Enoplognatha ovata	Enoplognatha ovata			Enoplognatha.ovata..Clerck.1757.
Enoplognatha thoracica	Enoplognatha thoracica			Enoplognatha.thoracica..Hahn.1833.
Entelecara erythropes	Entelecara erythropus			Entelecara.erythropus..Westring.1851.
Episinus angulatus	Episinus angulatus			Episinus.angulatus..Blackwall.1836.
Erigone arctica	Erigone arctica			Erigone.arctica..White.1852.
Erigone atra	Erigone atra			Erigone.atra.Blackwall.1833
Erigone dentipalpis	Erigone dentipalpis			Erigone.dentipalpis..Wider.1834.
Erigone promiscua	Erigone promiscua			Erigone.promiscua..O..P..Cambridge.1872.
Erigonella globipes	Erigonoplus globipes		will check with data owner	Erigonoplus.globipes..L..Koch.1872.
Ero aphana	Ero aphana			Ero.aphana..Walckenaer.1802.
Ero cambridgei	Ero cambridgei			Ero.cambridgei.Kulczynski.1911
Ero furcata	Ero furcata			Ero.furcata..Villers.1789.
Euophrys frontalis	Euophrys frontalis			Euophrys.frontalis..Walckenaer.1802.
Euophrys herbigrada	Euophrys herbigrada			Euophrys.herbigrada..Simon.1871.
Gonatium rubens	Gonatium rubens			Gonatium.rubens..Blackwall.1833.
Hahnia helveola	Hahnia helveola			Hahnia.helveola.Simon.1875
Hahnia nava	Hahnia nava			Hahnia.nava..Blackwall.1841.
Hahnia pusilla	Hahnia pusilla			Hahnia.pusilla.C.L..Koch.1841.1
Haplodrassus dalmatensis	Haplodrassus dalmatensis			Haplodrassus.dalmatensis..L..Koch.1866..1
Haplodrassus signifer	Haplodrassus signifer			Haplodrassus.signifer..C.L..Koch.1839.
Harpactea hombergi	Harpactea hombergi			Harpactea.hombergi..Scopoli.1763.
Heliophanus flavipes	Heliophanus flavipes			Heliophanus.flavipes..Hahn.1832.
Hypomma bituberculatum	Hypomma bituberculatum			Hypomma.bituberculatum..Wider.1834.
Hypsosinga albovittata	Hypsosinga albovittata			Hypsosinga.albovittata..Westring.1851.
Leptothrix hardyi	Leptothrix hardyi			Leptothrix.hardyi..Blackwall.1850.
Phalothrix hardyi	Leptothrix hardyi			Leptothrix.hardyi..Blackwall.1850..1
Lophomma punctatum	Lophomma punctatum			Lophomma.punctatum..Blackwall.1841..1
Marpissa nivoyi	Marpissa nivoyi			Marpissa.nivoyi..Lucas.1846.
Maso gallica	Maso gallicus			Maso.gallicus.Simon.1894
Maso sundevalli	Maso sundevalli			Maso.sundevalli..Westring.1851.
Tetrilus arietinus	Mastigusa arietina			Mastigusa.arietina..Thorell.1871.
Tetrilus microphthalmum	Mastigusa macrophthalma			Mastigusa.macrophthalma..Kulczynski.1897.
Meioneta beata	Meioneta affinis			Meioneta.affinis..Kulczynski.1898.
Meioneta mollis	Meioneta mollis			Meioneta.mollis..O..P..Cambridge.1871.
Meioneta rurestris	Meioneta rurestris			Meioneta.rurestris..C.L.Koch.1836.
Meioneta saxatilis	Meioneta saxatilis			Meioneta.saxatilis..Blackwall.1844.
Mermessus trilobatus	Mermessus trilobatus			Mermessus.trilobatus..Emerton.1882.
Meta mengei	Metellina mengei			Metellina.mengei..Blackwall.1870.
Meta merianae	Metellina merianae			Metellina.merianae..Scopoli.1763.
Metopobactrus prominulus	Metopobactrus prominulus			Metopobactrus.prominulus..O..P..Cambridge.1872.
Micaria romana	Micaria albovittata			Micaria.albovittata..Lucas.1846.
Micaria dives	Micaria dives			Micaria.dives..Lucas.1846.
Micaria pulicaria	Micaria pulicaria			Micaria.pulicaria..Sundevall.1831.
Micrargus herbigradus	Micrargus herbigradus			Micrargus.herbigradus..Blackwall.1854.
Micrargus laudatus	Micrargus laudatus			Micrargus.laudatus..O..P..Cambridge.1881.
Micrargus subaequalis	Micrargus subaequalis			Micrargus.subaequalis..Westring.1851.
Mioxena blanda	Mioxena blanda			Mioxena.blanda..Simon.1884.
Monocephalus fuscipes	Monocephalus fuscipes			Monocephalus.fuscipes..Blackwall.1836.
Neoscona adianta	Neoscona adianta			Neoscona.adianta..Walckenaer.1802.
Theridion bimaculatum	Neottiura bimaculata			Neottiura.bimaculata..Linnaeus.1767.
Nereine clathrata	Neriene clathrata			Neriene.clathrata..Sundevall.1830.
Linyphia montana	Neriene montana			Neriene.montana..Clerck.1757..1
Oedothorax apicatus	Oedothorax apicatus			Oedothorax.apicatus..Blackwall.1850.
Oedothorax fuscus	Oedothorax fuscus			Oedothorax.fuscus..Blackwall.1834.
Oedothorax retusus	Oedothorax retusus			Oedothorax.retusus..Westring.1851.
Ostearius melanopygius	Ostearius melanopygius			Ostearius.melanopygius..O..P..Cambridge.1879.
Ozyptila atomaria	Ozyptila atomaria			Ozyptila.atomaria..Panzer.1801.
Ozyptila praticola	Ozyptila praticola			Ozyptila.praticola..C.L..Koch.1837.
Ozyptila sanctuaria	Ozyptila sanctuaria			Ozyptila.sanctuaria..O..P..Cambridge.1871.
Ozyptila simplex	Ozyptila simplex			Ozyptila.simplex..O..P..Cambridge.1862.
Pachygnatha clercki	Pachygnatha clercki			Pachygnatha.clercki.Sundevall.1823
Pachygnatha degeeri	Pachygnatha degeeri			Pachygnatha.degeeri.Sundevall.1830
Lepthyphantes ericaeus	Palliduphantes ericaeus			Palliduphantes.ericaeus..Blackwall.1853.
Lepthyphantes insignis	Palliduphantes insignis			Palliduphantes.insignis..O..P..Cambridge.1913.
lepthyphantes pallidus	Palliduphantes pallidus			Palliduphantes.pallidus..O..P..Cambridge.1871.
Lepthyphantes pallidus	Palliduphantes pallidus			Palliduphantes.pallidus..O..P..Cambridge.1871.
Lepthyphantes pallidus	Palliduphantes pallidus			Palliduphantes.pallidus..O..P..Cambridge.1871.
Pelecopsis nemorale	Parapelecopsis nemoralioides			Parapelecopsis.nemoralioides..O..P..Cambridge.1884.
Pardosa amentata	Pardosa amentata			Pardosa.amentata..Clerck.1757.
Pardosa lugubris	Pardosa lugubris			Pardosa.lugubris..Walckenaer.1802.
Pardosa monticola	Pardosa monticola			Pardosa.monticola..Clerck.1757.
Pardosa nigriceps	Pardosa nigriceps			Pardosa.nigriceps..Thorell.1856.
Pardosa palustris	Pardosa palustris			Pardosa.palustris..Linnaeus.1758.
Pardosa pullata	Pardosa pullata			Pardosa.pullata..Clerck.1757.
Pelecopsis parallela	Pelecopsis parallela			Pelecopsis.parallela..Wider.1834.
Pelecopsis radicicola	Pelecopsis radicicola			Pelecopsis.radicicola..L..Koch.1872.
Peponocranium ludicrum	Peponocranium ludicrum			Peponocranium.ludicrum..O..P..Cambridge.1861.
Philodromus cespitum	Philodromus cespitum			Philodromus.cespitum..Walckenaer.1802.
Philodromus fallax	Philodromus fallax			Philodromus.fallax.Sundevall.1833
Phlegra fasciata	Phlegra fasciata			Phlegra.fasciata..Hahn.1826.
Pholcomma gibbosum	Pholcomma gibbum			Pholcomma.gibbum..Westring.1851.
Pholcomma gibosum	Pholcomma gibbum		will check with data owner	Pholcomma.gibbum..Westring.1851.
Phyrolithus festivus	Phrurolithus festivus			Phrurolithus.festivus..C.L..Koch.1835.
Pisaura mirabilis	Pisaura mirabilis			Pisaura.mirabilis..Clerck.1757.
Pocadicnemis juncea	Pocadicnemis juncea			Pocadicnemis.juncea.Locket...Millidge.1953
Poeciloneta globosa	Poeciloneta variegata			Poeciloneta.variegata..Blackwall.1841.
Porrhomma microphthalmum	Porrhomma microphthalmum			Porrhomma.microphthalmum..O..P..Cambridge.1871.
Porrhomma oblitum	Porrhomma oblitum			Porrhomma.oblitum..O..P..Cambridge.1871.
Porrhomma rosenhaueri	Porrhomma rosenhaueri			Porrhomma.rosenhaueri..L..Koch.1872.
Prinerigone vagans	Prinerigone vagans			Prinerigone.vagans..Audouin.1826.
Robertus arundineti	Robertus arundineti			Robertus.arundineti..O..P..Cambridge.1871.
Robertus lividus	Robertus lividus			Robertus.lividus..Blackwall.1836.
Robertus neglectus	Robertus neglectus			Robertus.neglectus..O..P..Cambridge.1871.
Silometopus curtus	Silometopus curtus			Silometopus.curtus..Simon.1881.
Silometopus reussi	Silometopus reussi			Silometopus.reussi..Thorell.1871.
Sitticus distinguendus	Sitticus distinguendus			Sitticus.distinguendus..Simon.1868.
Sitticus floricola	Sitticus floricola			Sitticus.floricola..C.L..Koch.1837.
Sitticus pubescens	Sitticus pubescens			Sitticus.pubescens..Fabricius.1775.
Sitticus saltator	Sitticus saltator			Sitticus.saltator..O..P..Cambridge.1868.
Stemonyphantes lineatus	Stemonyphantes lineatus			Stemonyphantes.lineatus..Linnaeus.1758.
Ceratinopsis romana	Styloctetor romanus			Styloctetor.romanus..O..P..Cambridge.1872.
Synageles venator	Synageles venator			Synageles.venator..Lucas.1836.
Centromerus expertus	Tallusia experta			Tallusia.experta..O..P..Cambridge.1871.
Tapinocyba praecox	Tapinocyba praecox			Tapinocyba.praecox..O..P..Cambridge.1873.
Tapinopa longidens	Tapinopa longidens			Tapinopa.longidens..Wider.1834.
Tegenaria agrestis	Tegenaria agrestis			Tegenaria.agrestis..Walckenaer.1802.
